         5406986886 function calls (5398158676 primitive calls) in 1400.685 seconds

   Ordered by: cumulative time
   List reduced from 4496 to 200 due to restriction <200>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  1823531    1.789    0.000    4.423    0.000 common.py:1278(is_bool_dtype)
      551    0.150    0.000    4.417    0.008 utils.py:642(safe_merge_dfs)
  2297786    1.553    0.000    4.415    0.000 common.py:162(is_object_dtype)
 71791429    4.332    0.000    4.332    0.000 {built-in method posix.fspath}
      501    0.001    0.000    4.325    0.009 frame.py:11375(resample)
      501    0.004    0.000    4.323    0.009 generic.py:8432(resample)
      501    0.004    0.000    4.318    0.009 resample.py:1537(get_resampler)
      501    0.003    0.000    4.288    0.009 resample.py:1690(_get_resampler)
      501    0.006    0.000    4.272    0.009 resample.py:145(__init__)
      501    0.003    0.000    4.256    0.008 resample.py:247(_get_binner)
      501    0.002    0.000    4.250    0.008 resample.py:1264(_get_binner_for_time)
      501    0.009    0.000    4.248    0.008 resample.py:1736(_get_time_bins)
     5440    0.012    0.000    4.206    0.001 response.py:753(_update_chunk_length)
    31728    0.022    0.000    4.094    0.000 indexing.py:1258(_get_label)
      501    0.080    0.000    4.084    0.008 api.py:204(union_indexes)
 35896809    4.076    0.000    4.076    0.000 {method 'rfind' of 'str' objects}
    31728    0.231    0.000    4.071    0.000 generic.py:3908(xs)
    16286    0.088    0.000    4.033    0.000 frame.py:3832(_getitem_bool_array)
  1875899    3.083    0.000    3.981    0.000 generic.py:259(__init__)
   361176    0.503    0.000    3.977    0.000 managers.py:1934(from_array)
   305885    0.464    0.000    3.950    0.000 cast.py:120(maybe_convert_platform)
   302376    0.527    0.000    3.947    0.000 base.py:3241(union)
   257386    0.325    0.000    3.850    0.000 strategy.py:479(get_date_from_pricing_data)
 38851393    3.679    0.000    3.826    0.000 {built-in method builtins.hasattr}
      507    0.003    0.000    3.746    0.007 datetimes.py:934(date_range)
      507    0.010    0.000    3.741    0.007 datetimes.py:335(_generate_range)
  5067000    1.350    0.000    3.726    0.000 common.py:1744(<genexpr>)
      501    0.078    0.000    3.692    0.007 datetimes.py:397(<listcomp>)
   303879    3.614    0.000    3.615    0.000 datetimes.py:2511(generate_range)
  2935512    2.219    0.000    3.576    0.000 series.py:611(name)
    10590    3.467    0.000    3.548    0.000 {pandas._libs.tslibs.vectorized.ints_to_pydatetime}
7735/6724    0.015    0.000    3.480    0.001 _decorators.py:323(wrapper)
 35902826    3.446    0.000    3.446    0.000 {method 'endswith' of 'str' objects}
  4577218    1.327    0.000    3.349    0.000 series.py:708(_values)
        3    0.000    0.000    3.339    1.113 strategyXLSXWriter.py:187(write_analytics_to_xlsx)
        3    0.000    0.000    3.260    1.087 workbook.py:373(save)
        3    0.000    0.000    3.260    1.087 excel.py:279(save_workbook)
        3    0.000    0.000    3.259    1.086 excel.py:273(save)
        3    0.001    0.000    3.259    1.086 excel.py:54(write_data)
    16424    0.055    0.000    3.239    0.000 generic.py:3894(_take_with_is_copy)
        3    0.000    0.000    3.219    1.073 excel.py:208(_write_worksheets)
  7351152    3.168    0.000    3.219    0.000 {pandas._libs.lib.is_list_like}
       12    0.000    0.000    3.219    0.268 excel.py:190(write_worksheet)
  2111610    1.385    0.000    3.205    0.000 base.py:5934(_get_values_for_loc)
547897/531116    0.281    0.000    3.171    0.000 {built-in method numpy.asarray}
  2034982    0.276    0.000    3.064    0.000 datetimes.py:569(__iter__)
       12    0.000    0.000    3.034    0.253 _writer.py:354(write)
 35909952    2.921    0.000    2.921    0.000 {method 'rstrip' of 'str' objects}
       12    0.015    0.001    2.915    0.243 _writer.py:120(write_rows)
   326152    1.870    0.000    2.900    0.000 {pandas._libs.lib.maybe_convert_objects}
 11806526    2.872    0.000    2.872    0.000 numerictypes.py:583(<listcomp>)
    16424    0.126    0.000    2.861    0.000 generic.py:3873(_take)
     2154    0.002    0.000    2.848    0.001 base.py:931(__array__)
