Index,Name,ISIN,Country,Currency,Exchange,Type of Security,Rating,Primary Listing,Industry Classification,Weighting,Ticker
123,VEOLIA ENVIRONNEMENT VE ORD,FR0000124141,Frankreich,EUR,Euronext Paris,Equity,Baa1,CAC 40 Index,Versorgungsunternehmen,"0,20%",VIE.PA
124,VONOVIA SE,DE000A1ML7J1,Deutschland,EUR,XETRA,Equity,Baa2,DAX Index,Immobilien,"0,20%",VNA.F
125,MERCK ORD,DE0006599905,Deutschland,EUR,XETRA,Equity,A3,DAX Index,Gesundheitswesen,"0,19%",MRK.DE
126,SWISS LIFE ORD,CH0014852781,Schweiz,CHF,Scoach Switzerland,Equity,-,Swiss Market Index,Finanzdienstleister,"0,19%",SLHN.SW
127,SOCIETE GENERALE ORD,FR0000130809,Frankreich,EUR,Euronext Paris,Equity,A2,CAC 40 Index,Finanzdienstleister,"0,19%",GLE.PA
128,DAIMLER TRUCK AG ORD,DE000DTR0CK8,Deutschland,EUR,-,Equity,-,DAX Index,Industrieunternehmen,"0,19%",DTG.F
129,EQT ORD,SE0012853455,Schweden,SEK,-,Equity,-,OMX Stockholm 30 Index,Finanzdienstleister,"0,18%",EQT.ST
130,FERROVIAL INTERNATIONAL ORD,NL0015001FS8,Spanien,EUR,-,Equity,-,-,Industrieunternehmen,"0,18%",FER.MC
131,IMPERIAL BRANDS PLC ORD,GB0004544929,Großbritannien (UK),GBP,London Stock Exchange,Equity,Baa3,FTSE 100 Index,Basiskonsumgüter,"0,18%",IMB.L
132,KONE ORD,FI0009013403,Finnland,EUR,Helsinki Stock Exchange,Equity,-,OMX Helsinki Index,Industrieunternehmen,"0,18%",KNEBV.HE
133,VODAFONE GROUP ORD,GB00BH4HKS39,Großbritannien (UK),GBP,London Stock Exchange,Equity,A3,FTSE 100 Index,Telekommunikation,"0,18%",VOD.L
134,SAMPO PLC ORD,FI4000552500,Finnland,EUR,-,Equity,-,-,Finanzdienstleister,"0,18%",SAMPO.HE
135,UPM-KYMMENE OY ORD,FI0009005987,Finnland,EUR,Helsinki Stock Exchange,Equity,Ba1,OMX Helsinki Index,Grundstoffe,"0,17%",UPM.HE
136,KUEHNE NAGEL INTERNATIONAL ORD,CH0025238863,Schweiz,CHF,Scoach Switzerland,Equity,-,Swiss Market Index,Industrieunternehmen,"0,17%",KNIN.SW
